id,title,release_year,revenue,budget,Nombre,Cargo
862,Toy Story,1995,373554033.0,30000000.0,John Lasseter,Director
15602,Grumpier Old Men,1995,0.0,0.0,Howard Deutch,Director
31357,Waiting to Exhale,1995,81452156.0,16000000.0,Forest Whitaker,Director
949,Heat,1995,187436818.0,60000000.0,Michael Mann,Director
11860,Sabrina,1995,0.0,58000000.0,Sydney Pollack,Director
9091,Sudden Death,1995,64350171.0,35000000.0,Peter Hyams,Director
710,GoldenEye,1995,352194034.0,58000000.0,Martin Campbell,Director
10858,Nixon,1995,13681765.0,44000000.0,Oliver Stone,Director
524,Casino,1995,116112375.0,52000000.0,Martin Scorsese,Director
4584,Sense and Sensibility,1995,135000000.0,16500000.0,Ang Lee,Director
9273,Ace Ventura: When Nature Calls,1995,212385533.0,30000000.0,Steve Oedekerk,Director
11517,Money Train,1995,35431113.0,60000000.0,Joseph Ruben,Director
8012,Get Shorty,1995,115101622.0,30250000.0,Barry Sonnenfeld,Director
9691,Assassins,1995,30303072.0,50000000.0,Richard Donner,Director
12665,Powder,1995,0.0,0.0,Victor Salva,Director
9263,Now and Then,1995,27400000.0,12000000.0,Lesli Linka Glatter,Director
17015,Persuasion,1995,0.0,0.0,Roger Michell,Director
902,The City of Lost Children,1995,1738611.0,18000000.0,Jean-Pierre Jeunet,Director
37557,Shanghai Triad,1995,0.0,0.0,Zhang Yimou,Director
63,Twelve Monkeys,1995,168840000.0,29500000.0,Terry Gilliam,Director
78802,Wings of Courage,1996,0.0,0.0,Jean-Jacques Annaud,Director
33689,It Takes Two,1995,0.0,0.0,Andy Tennant,Director
9603,Clueless,1995,0.0,12000000.0,Amy Heckerling,Director
34615,"Cry, the Beloved Country",1995,676525.0,0.0,Darrell James Roodt,Director
31174,Richard III,1995,0.0,0.0,Richard Loncraine,Director
35196,Restoration,1995,0.0,19000000.0,Michael Hoffman,Director
9312,Mortal Kombat,1995,122195920.0,18000000.0,Paul W.S. Anderson,Director
577,To Die For,1995,21284514.0,20000000.0,Gus Van Sant,Director
11861,How To Make An American Quilt,1995,23574130.0,10000000.0,Jocelyn Moorhouse,Director
8391,When Night Is Falling,1995,0.0,0.0,Patricia Rozema,Director
629,The Usual Suspects,1995,23341568.0,6000000.0,Bryan Singer,Director
117164,Guardian Angel,1994,0.0,0.0,Richard W. Munchkin,Director
49133,Lamerica,1994,0.0,0.0,Gianni Amelio,Director
26441,The Big Green,1995,0.0,0.0,Holly Goldberg Sloan,Director
97406,Georgia,1995,0.0,0.0,Ulu Grosbard,Director
124057,Kids of the Round Table,1997,0.0,0.0,Robert Tinnell,Director
9089,Home for the Holidays,1995,17519169.0,0.0,Jodie Foster,Director
11010,The Postman,1994,0.0,0.0,Michael Radford,Director
99040,The Confessional,1995,0.0,0.0,Robert Lepage,Director
11359,The Indian in the Cupboard,1995,0.0,45000000.0,Frank Oz,Director
17182,Eye for an Eye,1996,0.0,20000000.0,John Schlesinger,Director
2054,Mr. Holland's Opus,1995,106269971.0,0.0,Stephen Herek,Director
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,0.0,0.0,Paris Barclay,Director
19760,Two If by Sea,1996,0.0,0.0,Bill Bennett,Director
11525,Lawnmower Man 2: Beyond Cyberspace,1996,2409225.0,0.0,Farhad Mann,Director
10634,Friday,1995,28215918.0,3500000.0,F. Gary Gray,Director
755,From Dusk Till Dawn,1996,25836616.0,19000000.0,Robert Rodriguez,Director
11859,Fair Game,1995,11534477.0,50000000.0,Andrew Sipes,Director
28387,Kicking and Screaming,1995,718490.0,0.0,Noah Baumbach,Director
48750,Les Miserables,1995,0.0,0.0,Claude Lelouch,Director
20927,Bed of Roses,1996,19030691.0,0.0,Michael Goldenberg,Director
36929,Big Bully,1996,2042530.0,15000000.0,Steve Miner,Director
124626,Nico Icon,1995,0.0,0.0,Susanne Ofteringer,Director
9623,The Juror,1996,0.0,44000000.0,Brian Gibson,Director
400,Things to Do in Denver When You're Dead,1995,529766.0,8000000.0,Gary Fleder,Director
880,Antonia's Line,1995,0.0,900000.0,Marleen Gorris,Director
146599,Once Upon a Time... When We Were Colored,1996,0.0,0.0,Tim Reid,Director
188588,Last Summer in the Hamptons,1995,0.0,0.0,Henry Jaglom,Director
8447,Angels and Insects,1995,0.0,0.0,Philip Haas,Director
10534,White Squall,1996,10300000.0,38000000.0,Ridley Scott,Director
17414,Dunston Checks In,1996,0.0,16000000.0,Ken Kwapis,Director
13997,Black Sheep,1996,32.0,0.0,Penelope Spheeris,Director
2086,Nick of Time,1995,8175346.0,8169363.0,John Badham,Director
12158,Vampire in Brooklyn,1995,19800000.0,14000000.0,Wes Craven,Director
9283,Beautiful Girls,1996,0.0,0.0,Ted Demme,Director
406,La Haine,1995,0.0,3000000.0,Mathieu Kassovitz,Director
45549,Shopping,1994,0.0,0.0,Paul W.S. Anderson,Director
63076,Heidi Fleiss: Hollywood Madam,1995,0.0,0.0,Nick Broomfield,Director
13685,Bottle Rocket,1996,560069.0,7000000.0,Wes Anderson,Director
47475,Mr. Wrong,1996,0.0,0.0,Nick Castle,Director
9614,Happy Gilmore,1996,41205099.0,12000000.0,Dennis Dugan,Director
688,The Bridges of Madison County,1995,182016617.0,24000000.0,Clint Eastwood,Director
11907,Nobody Loves Me,1994,0.0,0.0,Doris Dörrie,Director
10874,Muppet Treasure Island,1996,34327391.0,0.0,Brian Henson,Director
89333,Catwalk,1995,0.0,0.0,Robert Leacock,Director
96357,Headless Body in Topless Bar,1995,0.0,0.0,James Bruce,Director
103,Taxi Driver,1976,28262574.0,1300000.0,Martin Scorsese,Director
33542,Rumble in the Bronx,1995,32392047.0,7500000.0,Stanley Tong,Director
43566,Before and After,1996,0.0,35000000.0,Barbet Schroeder,Director
43612,Happiness Is in the Field,1995,0.0,13365000.0,Étienne Chatiliez,Director
51352,Anne Frank Remembered,1995,1.0,0.0,Jon Blair,Director
55731,Race the Sun,1996,0.0,0.0,Charles T. Kanganis,Director
